order_id,customer_id,product_id,quantity,status
1,1,1,1,Completed
2,23,87,5,Completed
3,15,86,5,Completed
4,66,55,5,Cancelled
5,98,9,2,Cancelled
6,83,73,5,Pending
7,60,37,2,Cancelled
8,45,3,4,Cancelled
9,19,19,3,Completed
10,60,5,4,Cancelled
11,40,2,5,Pending
12,65,47,5,Completed
13,30,11,3,Cancelled
14,37,62,2,Cancelled
15,78,94,4,Pending
16,100,68,4,Cancelled
17,14,43,1,Pending
18,36,55,5,Completed
19,1,6,1,Pending
20,11,10,4,Cancelled
21,47,47,3,Pending
22,79,57,5,Completed
23,10,94,3,Cancelled
24,97,39,1,Cancelled
25,94,80,2,Pending
26,52,89,5,Cancelled
27,7,40,5,Cancelled
28,43,35,5,Pending
29,38,90,3,Completed
30,8,2,1,Cancelled
31,32,37,1,Pending
32,95,1,4,Completed
33,85,17,5,Cancelled
34,42,3,5,Completed
35,12,75,5,Completed
36,29,36,4,Completed
37,18,54,2,Completed
38,48,41,1,Completed
39,80,40,2,Completed
40,82,23,1,Completed
41,30,35,4,Completed
42,67,95,3,Pending
43,10,98,1,Cancelled
44,10,65,5,Completed
45,54,27,1,Completed
46,91,10,5,Completed
47,100,41,5,Completed
48,8,26,4,Pending
49,86,92,5,Pending
50,16,66,1,Completed
51,4,12,1,Cancelled
52,69,84,5,Cancelled
53,83,79,2,Pending
54,85,28,1,Completed
55,56,54,4,Pending
56,17,18,2,Cancelled
57,77,12,3,Pending
58,85,17,3,Completed
59,49,41,1,Cancelled
60,69,71,1,Pending
61,48,33,5,Pending
62,47,62,4,Completed
63,78,10,2,Pending
64,6,58,3,Cancelled
65,47,37,3,Completed
66,13,19,4,Completed
67,19,65,2,Cancelled
68,94,83,2,Completed
69,19,78,1,Cancelled
70,21,88,3,Completed
71,99,8,4,Completed
72,82,29,2,Completed
73,18,54,5,Pending
74,83,58,3,Pending
75,85,48,4,Pending
76,91,42,1,Cancelled
77,82,46,2,Cancelled
78,97,23,4,Pending
79,36,15,5,Completed
80,44,44,4,Cancelled
81,71,6,1,Completed
82,82,16,2,Cancelled
83,19,91,5,Cancelled
84,12,16,2,Cancelled
85,87,83,5,Completed
86,58,98,1,Cancelled
87,64,98,3,Pending
88,70,60,2,Cancelled
89,62,5,2,Pending
90,98,22,1,Completed
91,72,47,2,Cancelled
92,12,17,1,Completed
93,42,82,2,Pending
94,4,6,2,Cancelled
95,46,39,4,Completed
96,6,55,4,Cancelled
97,20,69,1,Completed
98,33,47,2,Pending
99,30,93,4,Pending
100,97,67,4,Completed
